GATE                  SCOPE                             TIER   MEASURED                                                                                                                                              THRESHOLD                                                 STATUS
--------------------  --------------------------------  -----  ----------------------------------------------------------------------------------------------------------------------------------------------------  --------------------------------------------------------  ------
wall_lengths          ae3edc814d                        lidar  0/24 within tolerance (0%), worst 309.0 cm, 12 unpaired                                                                                               <= 2 cm on >= 85%                                         FAIL  
ceiling_height        ae3edc814d                        lidar  no ceiling ground truth                                                                                                                               <= 1.5 cm                                                 SKIP  
opening_widths        ae3edc814d                        lidar  no opening ground truth                                                                                                                               <= 2 cm                                                   SKIP  
footprint             ae3edc814d                        lidar  16.57 m2 vs 28.75 m2 (42.4%)                                                                                                                          within +-5%                                               FAIL  
interval_coverage     ae3edc814d                        lidar  0/15 covered (0%), mean half-width 9.6 cm                                                                                                             >= 90% of 90% intervals                                   FAIL  
room_overlap          ae3edc814d                        lidar  largest overlap 0.000 m2 (0.0% of smallest room), total 0.000 m2                                                                                      no overlap above 2% of the smallest room                  PASS  
adjacency             ae3edc814d                        lidar  2/4 correct (50%); 2 missed, 0 phantom                                                                                                                every real connection found, none invented                FAIL  
drift_accountability  ae3edc814d                        lidar  keyframe pose graph, ICP-verified loop closures, gauge-fixed least squares; 109 closures, residual 0.3095 -> 0.2212, max correction 6.5 cm            a stated method with an ablation; poses used as-is fails  PASS  
wall_lengths          163f18d3ac                        lidar  0/17 within tolerance (0%), worst 228.5 cm, 5 unpaired                                                                                                <= 2 cm on >= 85%                                         FAIL  
ceiling_height        163f18d3ac                        lidar  no ceiling ground truth                                                                                                                               <= 1.5 cm                                                 SKIP  
opening_widths        163f18d3ac                        lidar  no opening ground truth                                                                                                                               <= 2 cm                                                   SKIP  
footprint             163f18d3ac                        lidar  25.27 m2 vs 28.75 m2 (12.1%)                                                                                                                          within +-5%                                               FAIL  
interval_coverage     163f18d3ac                        lidar  0/16 covered (0%), mean half-width 11.9 cm                                                                                                            >= 90% of 90% intervals                                   FAIL  
room_overlap          163f18d3ac                        lidar  largest overlap 0.000 m2 (0.0% of smallest room), total 0.000 m2                                                                                      no overlap above 2% of the smallest room                  PASS  
adjacency             163f18d3ac                        lidar  3/4 correct (75%); 1 missed, 1 phantom                                                                                                                every real connection found, none invented                FAIL  
drift_accountability  163f18d3ac                        lidar  keyframe pose graph, ICP-verified loop closures, gauge-fixed least squares; 110 closures, residual 0.7088 -> 0.5826, max correction 19.0 cm           a stated method with an ablation; poses used as-is fails  PASS  
wall_lengths          ae3edc814d                        photo  0/10 within tolerance (0%), worst 383.2 cm, 2 unpaired                                                                                                <= 8% on >= 85%                                           FAIL  
ceiling_height        ae3edc814d                        photo  no ceiling ground truth                                                                                                                               <= 1.5 cm                                                 SKIP  
opening_widths        ae3edc814d                        photo  no opening ground truth                                                                                                                               <= 2 cm                                                   SKIP  
footprint             ae3edc814d                        photo  92.00 m2 vs 28.75 m2 (220.0%)                                                                                                                         within +-8%                                               FAIL  
interval_coverage     ae3edc814d                        photo  7/11 covered (64%), mean half-width 688.7 cm                                                                                                          >= 90% of 90% intervals                                   FAIL  
room_overlap          ae3edc814d                        photo  largest overlap 0.000 m2 (0.0% of smallest room), total 0.000 m2                                                                                      no overlap above 2% of the smallest room                  PASS  
adjacency             ae3edc814d                        photo  2/4 correct (50%); 2 missed, 0 phantom                                                                                                                every real connection found, none invented                FAIL  
drift_accountability  ae3edc814d                        photo  not applicable at the photo tier: loop closure requires revisiting a place after going elsewhere, and per-room stills contain no trajectory to close  stated and ablated                                        SKIP  
wall_lengths          single_room                       lidar  no wall ground truth                                                                                                                                  <= 2 cm                                                   SKIP  
ceiling_height        single_room                       lidar  no ceiling ground truth                                                                                                                               <= 1.5 cm                                                 SKIP  
opening_widths        single_room                       lidar  no opening ground truth                                                                                                                               <= 2 cm                                                   SKIP  
footprint             single_room                       lidar  no footprint ground truth                                                                                                                             within +-5%                                               SKIP  
interval_coverage     single_room                       lidar  no ground truth to check coverage against                                                                                                             >= 90%                                                    SKIP  
room_overlap          single_room                       lidar  single room                                                                                                                                           no overlap                                                SKIP  
adjacency             single_room                       lidar  no adjacency ground truth                                                                                                                             all edges correct                                         SKIP  
drift_accountability  single_room                       lidar  keyframe pose graph, ICP-verified loop closures, gauge-fixed least squares; 16 closures, residual 2.2746 -> 0.3319, max correction 57.7 cm            a stated method with an ablation; poses used as-is fails  PASS  
repeatability         multiroom_home vs multiroom_long  lidar  0/25 walls agree (0%), worst 212.6 cm; ceiling spread 27.5 cm                                                                                         1 cm or 0.5% per wall; ceiling spread <= 1 cm             FAIL  
--------------------  --------------------------------  -----  ----------------------------------------------------------------------------------------------------------------------------------------------------  --------------------------------------------------------  ------
6 pass, 13 fail, 14 not evaluated

A gate is SKIP only when the ground truth needed to judge it does not exist. It is
never reported as passed on that basis, and it costs its marks either way.
